Data Sheet Name,Variable,Units,Category,Description,,,,,,,,,,,,,,,,,,,,,,
itrackfeb2023_pH_temps_QC,date_time,YYYY-MM-DD HH:MM,date,Date and time (PST),,,,,,,,,,,,,,,,,,,,,,
itrackfeb2023_pH_temps_QC,tank,NA,categorical,Unique tank identification (ID) number,,,,,,,,,,,,,,,,,,,,,,
itrackfeb2023_pH_temps_QC,treat,NA,categorical,"Corresponds to the pCO2 treatment - 'high' (1200 ?atm) , 'mid' (950 ?atm), 'ambient' (520 ?atm)",,,,,,,,,,,,,,,,,,,,,,
itrackfeb2023_pH_temps_QC,pH,NBS scale,numerical,"Measured by Honeywell Durafet pH probes every minute and recorded as an average every five minutes. These data serve as a real-time coarse monitoring/diagnostics tool of the mesocosms carbonate chemistry conditions and as time-series reflecting stability or dynamic patterns of experimental treatments. The uncertainty and drift associated with these sensors in this setting, however, prevents the use of these data beyond these uses. The most accurate and precise data source capturing the carbonate chemistry in the tanks are discrete carbonate chemistry samples analyzed for TCO2/pCO2 in the Burke-o-lator (BoL) as seen below. ",,,,,,,,,,,,,,,,,,,,,,
itrackfeb2023_pH_temps_QC,temp,°C,numerical,Measured by Walchem temperature probes every minute and recorded as an average every five minutes,,,,,,,,,,,,,,,,,,,,,,
iTrack Feb 2023 - HealthAssess_METADATA_QC,date,YYYY-MM-DD,date,Date sampling occurred ,,,,,,,,,,,,,,,,,,,,,,
iTrack Feb 2023 - HealthAssess_METADATA_QC,samplers,Initials,character,Initials of personnelle involved in sampling,,,,,,,,,,,,,,,,,,,,,,
iTrack Feb 2023 - HealthAssess_METADATA_QC,treatment,NA,categorical,"Corresponds to the pCO2  treatment - 'high' (1200 ?atm) , 'mid' (950 ?atm), 'ambient' (520 ?atm)",,,,,,,,,,,,,,,,,,,,,,
iTrack Feb 2023 - HealthAssess_METADATA_QC,tank_rep,NA,categorical,Indicates replicate number of each treatment. For this experiment there were 3 replicates of each treatment.,,,,,,,,,,,,,,,,,,,,,,
iTrack Feb 2023 - HealthAssess_METADATA_QC,tank,NA,categorical,Unique tank identification (ID) number,,,,,,,,,,,,,,,,,,,,,,
iTrack Feb 2023 - HealthAssess_METADATA_QC,time_point,NA,categorical,Refers to the sequence of sampling events throughout the course of the experiment ,,,,,,,,,,,,,,,,,,,,,,
iTrack Feb 2023 - HealthAssess_METADATA_QC,oyster_ID,NA,numerical,Unique number assigned to each oyster as they were destructively sampled,,,,,,,,,,,,,,,,,,,,,,
iTrack Feb 2023 - HealthAssess_METADATA_QC,wet_weight_g,grams,numerical,The wet weight (2 decimal places) including shell and oyster,,,,,,,,,,,,,,,,,,,,,,
iTrack Feb 2023 - HealthAssess_METADATA_QC,shell_height_mm,millimeters,numerical,"The longest measurement from the umbo to the furthest growth end of the shell (Galtsoff, 1964)",,,,,,,,,,,,,,,,,,,,,,
iTrack Feb 2023 - HealthAssess_METADATA_QC,shell_length_mm,millimeters,numerical,"The longest measurement from one side of the shell to the other perpendicular to the height (Galtsoff, 1964)",,,,,,,,,,,,,,,,,,,,,,
iTrack Feb 2023 - HealthAssess_METADATA_QC,shell_width_mm,millimeters,numerical,"The longest measurement from the top of the flat shell to the bottom of the cupped shell perpendicular to height and length (Galtsoff, 1964)",,,,,,,,,,,,,,,,,,,,,,
iTrack Feb 2023 - HealthAssess_METADATA_QC,health_vitality,"N, W, X",categorical,"Assessed the ability to close valves when opening with a shucking knife where N = normal, W = weak, X = dead ",,,,,,,,,,,,,,,,,,,,,,
iTrack Feb 2023 - HealthAssess_METADATA_QC,condition,"1, 2, 3",categorical,"Assessed condition of the tissue when shell was opened where 1 = watery and emaciated, 2 = medium/average fatenss and 3 = fat and plump",,,,,,,,,,,,,,,,,,,,,,
iTrack Feb 2023 - HealthAssess_METADATA_QC,mantle_recession,"0, 1, 2",categorical,"Assessed recession of the mantle when shell was opened where 0 = normal/healthy, 1 = minor (acute or recent), 2 = moderate to severe (chronic condition)",,,,,,,,,,,,,,,,,,,,,,
iTrack Feb 2023 - HealthAssess_METADATA_QC,conchiolin_deposits,"0, 1, 2, 3",categorical,"Assessed amount of conchiolin deposits on inside of shell when opened where 0 = none/normal/healthy, 1 = minor (affecting < 25% of shell surface), 2 = moderate (affecting > 25% of shell surface area), 3 = severe extensive conchiolin",,,,,,,,,,,,,,,,,,,,,,
iTrack Feb 2023 - HealthAssess_METADATA_QC,digestive_gland_colouration,"0, 1, 2",categorical,"Assessed digestive gland colour during dissection where 0 = normal, dark brown colour, 1 = slightly pale coloured, ranging from olive green to brown hues, 2 = extremely pale coloured, ranging from grey to beige hues",,,,,,,,,,,,,,,,,,,,,,
iTrack Feb 2023 - HealthAssess_METADATA_QC,lesion,"0, 1, 2, 3, 4 ",categorical,"Assessed lesions during dissection where 0 = none/normal or healthy, 1 = focal or multifocal green to yellow coloured pustules, abscesses or diffuse green coloured pus, 2 = focal or multifocal brown coloured lesions or colourless ulcerated areas, 3 = nodules in the gonad, 4 = other lesions",,,,,,,,,,,,,,,,,,,,,,
iTrack Feb 2023 - HealthAssess_METADATA_QC,tray_weight_g,grams,numerical ,Weight of weigh boat,,,,,,,,,,,,,,,,,,,,,,
iTrack Feb 2023 - HealthAssess_METADATA_QC,tray_tissue_wet_weight_g,grams,numerical ,Weight of weigh boat and wet oyster tissue,,,,,,,,,,,,,,,,,,,,,,
iTrack Feb 2023 - HealthAssess_METADATA_QC,tissue_wet_weight_g,grams,numerical ,Calculated weight of wet oyster tissue (tray_tissue_wet_weight_g  minus tray_weight_g),,,,,,,,,,,,,,,,,,,,,,
iTrack Feb 2023 - HealthAssess_METADATA_QC,tray_tissue_dry_weight_g,grams,numerical ,Weight of tissue and weigh boat after drying,,,,,,,,,,,,,,,,,,,,,,
iTrack Feb 2023 - HealthAssess_METADATA_QC,tissue_dry_weight_g,grams,numerical ,Calculated dry tissue weight (tray_tissue_dry_weight_g minus tray_weight_g),,,,,,,,,,,,,,,,,,,,,,
iTrack Feb 2023 - HealthAssess_METADATA_QC,comments,NA,character,Any additional comments outside of other health metrics,,,,,,,,,,,,,,,,,,,,,,
iTrack Feb 2023 - HealthAssess_METADATA_QC,Photo ID#,NA,categorical,Photo ID# associated with each sample,,,,,,,,,,,,,,,,,,,,,,
iTrack Feb 2023 PCO2 METADATA_CP,Sample identification ,NA,categorical,This larger column encompasses four columns relating to identifying the discrete water sample taken from the tank (see further descriptions below),,,,,,,,,,,,,,,,,,,,,,
iTrack Feb 2023 PCO2 METADATA_CP,Data collected at mesocosm during discrete sample collection,NA,"date, numerical",This larger column encompasses five columns relating to data that was collected from the tank at the time the discrete sample was taken (see further descriptions below),,,,,,,,,,,,,,,,,,,,,,
iTrack Feb 2023 PCO2 METADATA_CP,Burke-o-Lator Analysis ,NA,numerical,This larger column encompasses five columns relating to data collected during burke-o-lator analysis at the analysis temperature (see further descriptions below),,,,,,,,,,,,,,,,,,,,,,
iTrack Feb 2023 PCO2 METADATA_CP,Finalized processed data from BoL analysis at sample in situ temperature and computed additional parameters,NA,numerical,"This larger column encompasses seven columns relating to the burke-o-lator processed data at in situ temperatures (i.e., tank temperatures)",,,,,,,,,,,,,,,,,,,,,,
iTrack Feb 2023 PCO2 METADATA_CP,Timepoint,NA,categorical,Refers to the sequence of sampling events throughout the course of the experiment ,,,,,,,,,,,,,,,,,,,,,,
iTrack Feb 2023 PCO2 METADATA_CP,"Treatment (Amb, Mid, High) ",NA,categorical,"Corresponds to the pCO2 treatment - 'high' (1200 ?atm) , 'mid' (950 ?atm), 'ambient' (520 ?atm)",,,,,,,,,,,,,,,,,,,,,,
iTrack Feb 2023 PCO2 METADATA_CP,Tank ID,NA,categorical,Permanent tank numbers in the Marna Wet Lab,,,,,,,,,,,,,,,,,,,,,,
iTrack Feb 2023 PCO2 METADATA_CP,Sample ID,NA,categorical,Unique number assigned to each bottle sample taken from a tank,,,,,,,,,,,,,,,,,,,,,,
iTrack Feb 2023 PCO2 METADATA_CP,Date of Collection,YYYY-MM-DD,date,Date sampling occurred,,,,,,,,,,,,,,,,,,,,,,
iTrack Feb 2023 PCO2 METADATA_CP,Time,HH:MM,time,24 hr time in PST when sampling occurred,,,,,,,,,,,,,,,,,,,,,,
iTrack Feb 2023 PCO2 METADATA_CP,Tank Temp (Walchem),°C,numerical,Temerature in the tank measured by Walchem temperature probes at the time of sampling,,,,,,,,,,,,,,,,,,,,,,
iTrack Feb 2023 PCO2 METADATA_CP,Tank pH (DuraFET),NBS scale,numerical,pH in the tank measured by Honeywell Durafet pH probes at the time of sampling,,,,,,,,,,,,,,,,,,,,,,
iTrack Feb 2023 PCO2 METADATA_CP,Air Flow (L/min),litre per minute,numerical ,Litre per minute of air entering each tank,,,,,,,,,,,,,,,,,,,,,,
iTrack Feb 2023 PCO2 METADATA_CP,Date of Analysis ,YYYY-MM-DD,date,Date analysis occurred ,,,,,,,,,,,,,,,,,,,,,,
iTrack Feb 2023 PCO2 METADATA_CP,Sample Sal (YSI),NA,numerical,Salinity measured using a YSI during sample analysis,,,,,,,,,,,,,,,,,,,,,,
iTrack Feb 2023 PCO2 METADATA_CP,Analysis T,°C,numerical ,Temperature of the sample while being analyzed with the Burke-o-Lator,,,,,,,,,,,,,,,,,,,,,,
iTrack Feb 2023 PCO2 METADATA_CP,pCO2@analysis T,µatm,numerical ,The partial pressure of carbon dioxide measured during analysis with the Burke-o-Lator ,,,,,,,,,,,,,,,,,,,,,,
iTrack Feb 2023 PCO2 METADATA_CP,Adj. TCO2,µmol/kg,numerical ,Total carbon dioxide measured during analysis with the Burke-o-Lator adjusted for headspace in sampling container,,,,,,,,,,,,,,,,,,,,,,
iTrack Feb 2023 PCO2 METADATA_CP,TCO2 (µmol/kg),µmol/kg,numerical ,Total carbon dioxide measured during analysis with the Burke-o-Lator and then corrected with Certified Reference Materials (CRMs)*,,,,,,,,,,,,,,,,,,,,,,
iTrack Feb 2023 PCO2 METADATA_CP,TA (µmol/kg),µmol/kg,numerical ,"Total alkalinity calculated using the 'seacarb' package* in R and inputs of temperature, salinity, pCO2 and TCO2 measured during Burke-o-Lator analysis",,,,,,,,,,,,,,,,,,,,,,
iTrack Feb 2023 PCO2 METADATA_CP,pCO2 (µatm) ,µatm,numerical ,"Partial pressure of carbon dioxide in the sample at in-situ temperatures calculated using the 'seacarb' package* in R and inputs of temperature, salinity, pCO2 and TCO2 measured during Burke-o-Lator analysis",,,,,,,,,,,,,,,,,,,,,,
iTrack Feb 2023 PCO2 METADATA_CP,pH (total) ,total scale,numerical ,"pH in total scale calculated using the 'seacarb' package* in R and inputs of temperature, salinity, pCO2 and TCO2 measured during Burke-o-Lator analysis",,,,,,,,,,,,,,,,,,,,,,
iTrack Feb 2023 PCO2 METADATA_CP,Omega_arag,NA,numerical ,"Aragonite saturation calculated using the 'seacarb' package* in R and inputs of temperature, salinity, pCO2 and TCO2 measured during Burke-o-Lator analysis",,,,,,,,,,,,,,,,,,,,,,
iTrack Feb 2023 PCO2 METADATA_CP,Omega_ca,NA,numerical ,"Calcite saturation calculated using the 'seacarb' package* in R and inputs of temperature, salinity, pCO2 and TCO2 measured during Burke-o-Lator analysis",,,,,,,,,,,,,,,,,,,,,,
iTrack Feb 2023 PCO2 METADATA_CP,Notes,NA,character,Any notes from processing that may impact sample data,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
*Burke-o-Lator data processing information,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference Material validation and calculated uncertainty,"TCO2 validated using CRM from A. Dickson (Scripps Institution of Oceanography), pCO2 measurements validated with certified gas standards. Analytical uncertainly values of equal or less than 1% for both TCO2 and pCO2 (Evans et al., 2019 and 2022)",,,,,,,,,,,,,,,,,,,,,,,,,
Constants used,"Set of constants: K1, K2 from Lueker et al., 2000",,,,,,,,,,,,,,,,,,,,,,,,,
,"Ksp (calcite), Ksp (aragonite): Mucci, 1983",,,,,,,,,,,,,,,,,,,,,,,,,
,"KHSO4: Dickson, 1990",,,,,,,,,,,,,,,,,,,,,,,,,
,"KHF: Perez and Fraga, 1987",,,,,,,,,,,,,,,,,,,,,,,,,
,pH Scale: Total Scale (mol/kg-SW),,,,,,,,,,,,,,,,,,,,,,,,,
,[B]t Value: Uppstrom 1974,,,,,,,,,,,,,,,,,,,,,,,,,
,Temp and Salinity: EOS-80,,,,,,,,,,,,,,,,,,,,,,,,,
R package 'seacarb' reference,"Gattuso J, Epitalon J, Lavigne H, Orr J (2021). _seacarb: Seawater Carbonate Chemistry_. R package version 3.3.2",,,,,,,,,,,,,,,,,,,,,,,,,
Additional notes/Samples Removed from Dataset and reason for removal:,"Sample ID 46 Tank ID 18,High pCO2 treatment from second timepoint , removed from dataset due to TCO2 averaging issue.",,,,,,,,,,,,,,,,,,,,,,,,,
,"Sample ID 464 Tank ID 17, the DuraFET pH reading is quite different from the rest of the replicates in this group, while the calculated BoL pH aligns with the other replicates. There is no evidence to support the removal of this sample because the BoL calcuations align with the other replicates, but note that this DuraFET pH value is likely incorrect.The DuraFET on this tank failed on 2023-02-25, and a new DuraFET probe was provided but possibly not properly calibrated, likely the casue of the discrepancy between the BoL calculated pH and the DuraFET probe. ",,,,,,,,,,,,,,,,,,,,,,,,,
,"Tanks with the word ""control"" in the treatment type did not have oysters in the tank",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
